ITEM: TIMESTEP
0.1
ITEM: NUMBER OF ATOMS
5
ITEM: BOX BOUNDS pp pp pp
0.0 100
0.0 100
0.0 100
ITEM: ATOMS id x y z
0 8.54451 69.96 16.0056
1 31.0615 99.4008 45.5597
2 90.9387 92.192 46.5329
3 89.5912 13.9694 38.0902
4 59.1022 86.986 90.368
0 8.55239 74.2405 17.6669
1 34.1066 99.7099 46.2917
2 94.9142 95.0241 48.2632
3 93.6831 15.974 39.2867
4 60.0219 88.4873 91.0782
0 8.56027 78.5209 19.3283
1 37.1518 99.9811 47.0238
2 98.8898 97.8561 49.9934
3 97.7751 17.9786 40.4831
4 60.9415 89.9887 91.7885
0 8.56815 82.8013 20.9897
1 40.197 99.672 47.7559
2 97.1347 99.3118 51.7236
3 98.133 19.9832 41.6796
4 61.8612 91.49 92.4988
0 8.57603 87.0817 22.6511
1 43.2421 99.3629 48.4879
2 93.1592 96.4798 53.4539
3 94.0411 21.9879 42.876
4 62.7809 92.9914 93.209
0 8.58391 91.3621 24.3124
1 46.2873 99.0538 49.22
2 89.1837 93.6478 55.1841
3 89.9492 23.9925 44.0725
4 63.7006 94.4927 93.9193
0 8.59179 95.6425 25.9738
1 49.3325 98.7447 49.952
2 85.2082 90.8157 56.9144
3 85.8573 25.9971 45.269
4 64.6202 95.994 94.6295
0 8.59967 99.923 27.6352
1 52.3776 98.4357 50.6841
2 81.2327 87.9837 58.6446
3 81.7653 28.0017 46.4654
4 65.5399 97.4954 95.3398
0 8.60755 95.7966 29.2966
1 55.4228 98.1266 51.4162
2 77.2572 85.1516 60.3749
3 77.6734 30.0063 47.6619
4 66.4596 98.9967 96.05
0 8.61544 91.5162 30.9579
1 58.468 97.8175 52.1482
2 73.2817 82.3196 62.1051
3 73.5815 32.011 48.8583
4 67.3793 99.5019 96.7603
0 8.62332 87.2358 32.6193
1 61.5131 97.5084 52.8803
2 69.3062 79.4876 63.8353
3 69.4896 34.0156 50.0548
4 68.2989 98.0006 97.4706
0 8.6312 82.9554 34.2807
1 64.5583 97.1994 53.6124
2 65.3306 76.6555 65.5656
3 65.3977 36.0202 51.2513
4 69.2186 96.4992 98.1808
0 8.63908 78.675 35.942
1 67.6035 96.8903 54.3444
2 61.3551 73.8235 67.2958
3 61.3057 38.0248 52.4477
4 70.1383 94.9979 98.8911
0 8.64696 74.3945 37.6034
1 70.6486 96.5812 55.0765
2 57.3796 70.9914 69.0261
3 57.2138 40.0294 53.6442
4 71.058 93.4966 99.6013
0 8.65484 70.1141 39.2648
1 73.6938 96.2721 55.8085
2 53.4041 68.1594 70.7563
3 53.1219 42.034 54.8406
4 71.9776 91.9952 99.6884
0 8.66272 65.8337 40.9262
1 76.739 95.9631 56.5406
2 49.4286 65.3274 72.4866
3 49.03 44.0387 56.0371
4 72.8973 90.4939 98.9782
0 8.6706 61.5533 42.5875
1 79.7841 95.654 57.2727
2 45.4531 62.4953 74.2168
3 44.9381 46.0433 57.2336
4 73.817 88.9925 98.2679
0 8.67848 57.2729 44.2489
1 82.8293 95.3449 58.0047
2 41.4776 59.6633 75.947
3 40.8461 48.0479 58.43
4 74.7367 87.4912 97.5576
0 8.68636 52.9925 45.9103
1 85.8745 95.0358 58.7368
2 37.5021 56.8312 77.6773
3 36.7542 50.0525 59.6265
4 75.6563 85.9898 96.8474
0 8.69425 48.712 47.5716
1 88.9196 94.7268 59.4689
2 33.5265 53.9992 79.4075
3 32.6623 52.0571 60.8229
4 76.576 84.4885 96.1371
0 8.70213 44.4316 49.233
1 91.9648 94.4177 60.2009
2 29.551 51.1672 81.1378
3 28.5704 54.0617 62.0194
4 77.4957 82.9872 95.4269
0 8.71001 40.1512 50.8944
1 95.01 94.1086 60.933
2 25.5755 48.3351 82.868
3 24.4785 56.0664 63.2159
4 78.4154 81.4858 94.7166
0 8.71789 35.8708 52.5558
1 98.0551 93.7995 61.665
2 21.6 45.5031 84.5983
3 20.3865 58.071 64.4123
4 79.335 79.9845 94.0064
0 8.72577 31.5904 54.2171
1 98.8997 93.4905 62.3971
2 17.6245 42.671 86.3285
3 16.2946 60.0756 65.6088
