Time,Kinetic,Potential,Total
0,85.4991,-5860.28,-5774.78
0.01,96.2546,-5871.03,-5774.78
0.02,131.545,-5906.32,-5774.78
0.03,193.272,-5968.05,-5774.77
0.04,284.584,-6059.36,-5774.77
0.05,409.717,-6184.49,-5774.77
0.06,573.18,-6347.95,-5774.77
0.07,777.186,-6551.96,-5774.77
0.08,1015.54,-6790.34,-5774.79
0.09,1265.33,-7040.16,-5774.83
0.1,1492.14,-7267,-5774.86
0.11,1685.91,-7460.75,-5774.84
0.12,1919.97,-7694.82,-5774.85
0.13,2212.53,-7987.49,-5774.96
0.14,2495.04,-8269.98,-5774.94
0.15,2804.4,-8579.62,-5775.22
0.16,2859.82,-8635.07,-5775.25
0.17,2883.49,-8658.19,-5774.7
0.18,3414.55,-9190.21,-5775.66
0.19,3513.17,-9288.45,-5775.28
0.2,3596.64,-9372.22,-5775.58
0.21,3900.87,-9676.59,-5775.71
0.22,4297.36,-10072.9,-5775.57
0.23,4567.05,-10343,-5775.91
0.24,4447.7,-10223,-5775.3
0.25,4562.15,-10337.7,-5775.51
0.26,4688.87,-10464.8,-5775.97
0.27,4365.23,-10139.2,-5773.97
0.28,4770.91,-10546.6,-5775.67
0.29,4911.7,-10687.6,-5775.95
0.3,4672.7,-10447.9,-5775.24
0.31,4691.3,-10467,-5775.73
0.32,4772.3,-10548.4,-5776.11
0.33,4464.95,-10240.2,-5775.3
0.34,4461.94,-10237.9,-5775.91
0.35,4732.28,-10508.8,-5776.49
0.36,4781.18,-10557.4,-5776.22
0.37,4654.04,-10429.4,-5775.34
0.38,4762.88,-10538.8,-5775.87
0.39,4541.82,-10316.8,-5775.02
0.4,4731.15,-10507.2,-5776.02
0.41,4283.71,-10059.2,-5775.46
0.42,4132.83,-9907.6,-5774.77
0.43,4535.52,-10311.7,-5776.13
0.44,4371.6,-10147.2,-5775.59
0.45,4239.54,-10015.1,-5775.55
0.46,4362.74,-10138.4,-5775.67
0.47,4672.45,-10448.4,-5775.92
0.48,4719.8,-10495.3,-5775.51
0.49,4543.19,-10318.4,-5775.26
0.5,4700.36,-10476,-5775.66
0.51,4807.68,-10583.3,-5775.59
0.52,4639.08,-10414.6,-5775.47
